Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_group,montly_income_per_year_at_company,Experience_Internal,stagnation_in_role,JobRole_Department
32,0,Travel_Rarely,334,Research & Development,5,2 - College,Life Sciences,1 - Low,Male,80,4 - Very High,1,Research Scientist,2 - Medium,Divorced,3298,15053,0,Y,Yes,12,3- Excellent,4 - Very High,2,7,5,2- Good,6,2,0,5,25-34,471.14285714285717,0.8571428571428571,0.3333333333333333,Research Scientist_Research & Development
22,0,Non-Travel,1123,Research & Development,16,2 - College,Medical,4 - Very High,Male,96,4 - Very High,1,Laboratory Technician,4 - Very High,Divorced,2935,7324,1,Y,Yes,13,3- Excellent,2 - Medium,2,1,2,2- Good,1,0,0,0,18-24,1467.5,1.0,0.0,Laboratory Technician_Research & Development
53,0,Travel_Rarely,1219,Sales,2,4 - Master,Life Sciences,1 - Low,Female,78,2 - Medium,4,Manager,4 - Very High,Married,15427,22021,2,Y,No,16,3- Excellent,3 - High,0,31,3,3 - Better,25,8,3,7,45-54,593.3461538461538,0.8064516129032258,0.32,Manager_Sales
38,0,Travel_Rarely,371,Research & Development,2,3 - Bachelor,Life Sciences,4 - Very High,Male,45,3 - High,1,Research Scientist,4 - Very High,Single,3944,4306,5,Y,Yes,11,3- Excellent,3 - High,0,6,3,3 - Better,3,2,1,2,35-44,986.0,0.5,0.6666666666666666,Research Scientist_Research & Development
24,0,Non-Travel,673,Research & Development,11,2 - College,Other,1 - Low,Female,96,4 - Very High,2,Manufacturing Director,3 - High,Divorced,4011,8232,0,Y,No,18,3- Excellent,4 - Very High,1,5,5,2- Good,4,2,1,3,18-24,802.2,0.8,0.5,Manufacturing Director_Research & Development
36,1,Travel_Rarely,1218,Sales,9,4 - Master,Life Sciences,3 - High,Male,82,2 - Medium,1,Sales Representative,1 - Low,Single,3407,6986,7,Y,No,23,4 - Outstanding,2 - Medium,0,10,4,3 - Better,5,3,0,3,35-44,567.8333333333334,0.5,0.6,Sales Representative_Sales
34,0,Travel_Rarely,419,Research & Development,7,4 - Master,Life Sciences,1 - Low,Female,53,3 - High,3,Research Director,2 - Medium,Single,11994,21293,0,Y,No,11,3- Excellent,3 - High,0,13,4,3 - Better,12,6,2,11,25-34,922.6153846153846,0.9230769230769231,0.5,Research Director_Research & Development
21,0,Travel_Rarely,391,Research & Development,15,2 - College,Life Sciences,3 - High,Male,96,3 - High,1,Research Scientist,4 - Very High,Single,1232,19281,1,Y,No,14,3- Excellent,4 - Very High,0,0,6,3 - Better,0,0,0,0,18-24,1232.0,,0.0,Research Scientist_Research & Development
34,1,Travel_Rarely,699,Research & Development,6,1 - Below College,Medical,2 - Medium,Male,83,3 - High,1,Research Scientist,1 - Low,Single,2960,17102,2,Y,No,11,3- Excellent,3 - High,0,8,2,3 - Better,4,2,1,3,25-34,592.0,0.5,0.5,Research Scientist_Research & Development
53,0,Travel_Rarely,1282,Research & Development,5,3 - Bachelor,Other,3 - High,Female,58,3 - High,5,Manager,3 - High,Divorced,19094,10735,4,Y,No,11,3- Excellent,4 - Very High,1,26,3,2- Good,14,13,4,8,45-54,1272.9333333333334,0.5384615384615384,0.9285714285714286,Manager_Research & Development
32,1,Travel_Frequently,1125,Research & Development,16,1 - Below College,Life Sciences,2 - Medium,Female,72,1 - Low,1,Research Scientist,1 - Low,Single,3919,4681,1,Y,Yes,22,4 - Outstanding,2 - Medium,0,10,5,3 - Better,10,2,6,7,25-34,356.27272727272725,1.0,0.2,Research Scientist_Research & Development
42,0,Travel_Rarely,691,Sales,8,4 - Master,Marketing,3 - High,Male,48,3 - High,2,Sales Executive,2 - Medium,Married,6825,21173,0,Y,No,11,3- Excellent,4 - Very High,1,10,2,3 - Better,9,7,4,2,35-44,682.5,0.9,0.7777777777777778,Sales Executive_Sales
44,0,Travel_Rarely,477,Research & Development,7,4 - Master,Medical,1 - Low,Female,42,2 - Medium,3,Healthcare Representative,4 - Very High,Married,10248,2094,3,Y,No,14,3- Excellent,4 - Very High,1,24,4,3 - Better,22,6,5,17,35-44,445.5652173913044,0.9166666666666666,0.2727272727272727,Healthcare Representative_Research & Development
46,0,Travel_Rarely,705,Sales,2,4 - Master,Marketing,2 - Medium,Female,83,3 - High,5,Manager,1 - Low,Single,18947,22822,3,Y,No,12,3- Excellent,4 - Very High,0,22,2,2- Good,2,2,2,1,45-54,6315.666666666667,0.09090909090909091,1.0,Manager_Sales
33,0,Travel_Rarely,924,Research & Development,2,3 - Bachelor,Medical,3 - High,Male,78,3 - High,1,Laboratory Technician,4 - Very High,Single,2496,6670,4,Y,No,11,3- Excellent,4 - Very High,0,7,3,3 - Better,1,1,0,0,25-34,1248.0,0.14285714285714285,1.0,Laboratory Technician_Research & Development
44,0,Travel_Rarely,1459,Research & Development,10,4 - Master,Other,4 - Very High,Male,41,3 - High,2,Healthcare Representative,4 - Very High,Married,6465,19121,2,Y,Yes,13,3- Excellent,4 - Very High,0,9,5,4 - Best,4,2,1,3,35-44,1293.0,0.4444444444444444,0.5,Healthcare Representative_Research & Development
30,0,Travel_Rarely,125,Research & Development,9,2 - College,Medical,4 - Very High,Male,83,2 - Medium,1,Laboratory Technician,3 - High,Single,2206,16117,1,Y,No,13,3- Excellent,1 - Low,0,10,5,3 - Better,10,0,1,8,25-34,200.54545454545453,1.0,0.0,Laboratory Technician_Research & Development
39,1,Travel_Rarely,895,Sales,5,3 - Bachelor,Technical Degree,4 - Very High,Male,56,3 - High,2,Sales Representative,4 - Very High,Married,2086,3335,3,Y,No,14,3- Excellent,3 - High,1,19,6,4 - Best,1,0,0,0,35-44,1043.0,0.05263157894736842,0.0,Sales Representative_Sales
24,1,Travel_Rarely,813,Research & Development,1,3 - Bachelor,Medical,2 - Medium,Male,61,3 - High,1,Research Scientist,4 - Very High,Married,2293,3020,2,Y,Yes,16,3- Excellent,1 - Low,1,6,2,2- Good,2,0,2,0,18-24,764.3333333333334,0.3333333333333333,0.0,Research Scientist_Research & Development
43,0,Travel_Rarely,1273,Research & Development,2,2 - College,Medical,4 - Very High,Female,72,4 - Very High,1,Research Scientist,3 - High,Divorced,2645,21923,1,Y,No,12,3- Excellent,4 - Very High,2,6,3,2- Good,5,3,1,4,35-44,440.8333333333333,0.8333333333333334,0.6,Research Scientist_Research & Development
50,1,Travel_Rarely,869,Sales,3,2 - College,Marketing,1 - Low,Male,86,2 - Medium,1,Sales Representative,3 - High,Married,2683,3810,1,Y,Yes,14,3- Excellent,3 - High,0,3,2,3 - Better,3,2,0,2,45-54,670.75,1.0,0.6666666666666666,Sales Representative_Sales
35,0,Travel_Rarely,890,Sales,2,3 - Bachelor,Marketing,4 - Very High,Female,97,3 - High,1,Sales Representative,4 - Very High,Married,2014,9687,1,Y,No,13,3- Excellent,1 - Low,0,2,3,3 - Better,2,2,2,2,35-44,671.3333333333334,1.0,1.0,Sales Representative_Sales
36,0,Travel_Rarely,852,Research & Development,5,4 - Master,Life Sciences,2 - Medium,Female,82,2 - Medium,1,Research Scientist,1 - Low,Married,3419,13072,9,Y,Yes,14,3- Excellent,4 - Very High,1,6,3,4 - Best,1,1,0,0,35-44,1709.5,0.16666666666666666,1.0,Research Scientist_Research & Development
33,0,Travel_Frequently,1141,Sales,1,3 - Bachelor,Life Sciences,3 - High,Female,42,4 - Very High,2,Sales Executive,1 - Low,Married,5376,3193,2,Y,No,19,3- Excellent,1 - Low,2,10,3,3 - Better,5,3,1,3,25-34,896.0,0.5,0.6,Sales Executive_Sales
35,0,Travel_Rarely,464,Research & Development,4,2 - College,Other,3 - High,Male,75,3 - High,1,Laboratory Technician,4 - Very High,Divorced,1951,10910,1,Y,No,12,3- Excellent,3 - High,1,1,3,3 - Better,1,0,0,0,35-44,975.5,1.0,0.0,Laboratory Technician_Research & Development
27,0,Travel_Rarely,1240,Research & Development,2,4 - Master,Life Sciences,4 - Very High,Female,33,3 - High,1,Laboratory Technician,1 - Low,Divorced,2341,19715,1,Y,No,13,3- Excellent,4 - Very High,1,1,6,3 - Better,1,0,0,0,25-34,1170.5,1.0,0.0,Laboratory Technician_Research & Development
26,1,Travel_Rarely,1357,Research & Development,25,3 - Bachelor,Life Sciences,1 - Low,Male,48,1 - Low,1,Laboratory Technician,3 - High,Single,2293,10558,1,Y,No,12,3- Excellent,3 - High,0,1,2,2- Good,1,0,0,1,25-34,1146.5,1.0,0.0,Laboratory Technician_Research & Development
27,0,Travel_Frequently,994,Sales,8,3 - Bachelor,Life Sciences,4 - Very High,Male,37,3 - High,3,Sales Executive,3 - High,Single,8726,2975,1,Y,No,15,3- Excellent,4 - Very High,0,9,0,3 - Better,9,8,1,7,25-34,872.6,1.0,0.8888888888888888,Sales Executive_Sales
30,0,Travel_Frequently,721,Research & Development,1,2 - College,Medical,3 - High,Female,58,3 - High,2,Laboratory Technician,4 - Very High,Single,4011,10781,1,Y,No,23,4 - Outstanding,4 - Very High,0,12,2,3 - Better,12,8,3,7,25-34,308.53846153846155,1.0,0.6666666666666666,Laboratory Technician_Research & Development
41,1,Travel_Rarely,1360,Research & Development,12,3 - Bachelor,Technical Degree,2 - Medium,Female,49,3 - High,5,Research Director,3 - High,Married,19545,16280,1,Y,No,12,3- Excellent,4 - Very High,0,23,0,3 - Better,22,15,15,8,35-44,849.7826086956521,0.9565217391304348,0.6818181818181818,Research Director_Research & Development
34,0,Non-Travel,1065,Sales,23,4 - Master,Marketing,2 - Medium,Male,72,3 - High,2,Sales Executive,3 - High,Single,4568,10034,0,Y,No,20,4 - Outstanding,3 - High,0,10,2,3 - Better,9,5,8,7,25-34,456.8,0.9,0.5555555555555556,Sales Executive_Sales
37,0,Travel_Rarely,408,Research & Development,19,2 - College,Life Sciences,2 - Medium,Male,73,3 - High,1,Research Scientist,2 - Medium,Married,3022,10227,4,Y,No,21,4 - Outstanding,1 - Low,0,8,1,3 - Better,1,0,0,0,35-44,1511.0,0.125,0.0,Research Scientist_Research & Development
46,0,Travel_Frequently,1211,Sales,5,4 - Master,Marketing,1 - Low,Male,98,3 - High,2,Sales Executive,4 - Very High,Single,5772,20445,4,Y,Yes,21,4 - Outstanding,3 - High,0,14,4,3 - Better,9,6,0,8,45-54,577.2,0.6428571428571429,0.6666666666666666,Sales Executive_Sales
35,0,Travel_Rarely,1229,Research & Development,8,1 - Below College,Life Sciences,4 - Very High,Male,36,4 - Very High,1,Laboratory Technician,4 - Very High,Married,2269,4892,1,Y,No,19,3- Excellent,4 - Very High,0,1,2,3 - Better,1,0,0,1,35-44,1134.5,1.0,0.0,Laboratory Technician_Research & Development
48,1,Travel_Rarely,626,Research & Development,1,2 - College,Life Sciences,1 - Low,Male,98,2 - Medium,3,Laboratory Technician,3 - High,Single,5381,19294,9,Y,Yes,13,3- Excellent,4 - Very High,0,23,2,3 - Better,1,0,0,0,45-54,2690.5,0.043478260869565216,0.0,Laboratory Technician_Research & Development
28,1,Travel_Rarely,1434,Research & Development,5,4 - Master,Technical Degree,3 - High,Male,50,3 - High,1,Laboratory Technician,3 - High,Single,3441,11179,1,Y,Yes,13,3- Excellent,3 - High,0,2,3,2- Good,2,2,2,2,25-34,1147.0,1.0,1.0,Laboratory Technician_Research & Development
44,0,Travel_Rarely,1488,Sales,1,5 - Doctorate,Marketing,2 - Medium,Female,75,3 - High,2,Sales Executive,1 - Low,Divorced,5454,4009,5,Y,Yes,21,4 - Outstanding,3 - High,1,9,2,2- Good,4,3,1,3,35-44,1090.8,0.4444444444444444,0.75,Sales Executive_Sales
35,0,Non-Travel,1097,Research & Development,11,2 - College,Medical,3 - High,Male,79,2 - Medium,3,Healthcare Representative,1 - Low,Married,9884,8302,2,Y,Yes,13,3- Excellent,3 - High,1,10,3,3 - Better,4,0,2,3,35-44,1976.8,0.4,0.0,Healthcare Representative_Research & Development
26,0,Travel_Rarely,1443,Sales,23,3 - Bachelor,Marketing,3 - High,Female,47,2 - Medium,2,Sales Executive,4 - Very High,Married,4157,21436,7,Y,Yes,19,3- Excellent,3 - High,1,5,2,2- Good,2,2,0,0,25-34,1385.6666666666667,0.4,1.0,Sales Executive_Sales
33,0,Travel_Frequently,515,Research & Development,1,2 - College,Life Sciences,1 - Low,Female,98,3 - High,3,Research Director,4 - Very High,Single,13458,15146,1,Y,Yes,12,3- Excellent,3 - High,0,15,1,3 - Better,15,14,8,12,25-34,841.125,1.0,0.9333333333333333,Research Director_Research & Development
35,0,Travel_Frequently,853,Sales,18,5 - Doctorate,Life Sciences,2 - Medium,Male,71,3 - High,3,Sales Executive,1 - Low,Married,9069,11031,1,Y,No,22,4 - Outstanding,4 - Very High,1,9,3,2- Good,9,8,1,8,35-44,906.9,1.0,0.8888888888888888,Sales Executive_Sales
35,0,Travel_Rarely,1142,Research & Development,23,4 - Master,Medical,3 - High,Female,30,3 - High,1,Laboratory Technician,1 - Low,Married,4014,16002,3,Y,Yes,15,3- Excellent,3 - High,1,4,3,3 - Better,2,2,2,2,35-44,1338.0,0.5,1.0,Laboratory Technician_Research & Development
31,0,Travel_Rarely,655,Research & Development,7,4 - Master,Life Sciences,4 - Very High,Male,48,3 - High,2,Laboratory Technician,4 - Very High,Divorced,5915,9528,3,Y,No,22,4 - Outstanding,4 - Very High,1,10,3,2- Good,7,7,1,7,25-34,739.375,0.7,1.0,Laboratory Technician_Research & Development
37,0,Travel_Rarely,1115,Research & Development,1,4 - Master,Life Sciences,1 - Low,Male,51,2 - Medium,2,Manufacturing Director,3 - High,Divorced,5993,2689,1,Y,No,18,3- Excellent,3 - High,1,7,2,4 - Best,7,5,0,7,35-44,749.125,1.0,0.7142857142857143,Manufacturing Director_Research & Development
32,0,Travel_Rarely,427,Research & Development,1,3 - Bachelor,Medical,1 - Low,Male,33,3 - High,2,Manufacturing Director,4 - Very High,Married,6162,10877,1,Y,Yes,22,4 - Outstanding,2 - Medium,1,9,3,3 - Better,9,8,7,8,25-34,616.2,1.0,0.8888888888888888,Manufacturing Director_Research & Development
38,0,Travel_Frequently,653,Research & Development,29,5 - Doctorate,Life Sciences,4 - Very High,Female,50,3 - High,2,Laboratory Technician,4 - Very High,Single,2406,5456,1,Y,No,11,3- Excellent,4 - Very High,0,10,2,3 - Better,10,3,9,9,35-44,218.72727272727272,1.0,0.3,Laboratory Technician_Research & Development
50,0,Travel_Rarely,989,Research & Development,7,2 - College,Medical,2 - Medium,Female,43,2 - Medium,5,Research Director,3 - High,Divorced,18740,16701,5,Y,Yes,12,3- Excellent,4 - Very High,1,29,2,2- Good,27,3,13,8,45-54,669.2857142857143,0.9310344827586207,0.1111111111111111,Research Director_Research & Development
59,0,Travel_Rarely,1435,Sales,25,3 - Bachelor,Life Sciences,1 - Low,Female,99,3 - High,3,Sales Executive,1 - Low,Single,7637,2354,7,Y,No,11,3- Excellent,4 - Very High,0,28,3,2- Good,21,16,7,9,55-64,347.1363636363636,0.75,0.7619047619047619,Sales Executive_Sales
36,0,Travel_Rarely,1223,Research & Development,8,3 - Bachelor,Technical Degree,3 - High,Female,59,3 - High,3,Healthcare Representative,3 - High,Divorced,10096,8202,1,Y,No,13,3- Excellent,2 - Medium,3,17,2,3 - Better,17,14,12,8,35-44,560.8888888888889,1.0,0.8235294117647058,Healthcare Representative_Research & Development
55,0,Travel_Rarely,836,Research & Development,8,3 - Bachelor,Medical,4 - Very High,Female,33,3 - High,4,Manager,3 - High,Divorced,14756,19730,2,Y,Yes,14,3- Excellent,3 - High,3,21,2,3 - Better,5,0,0,2,55-64,2459.3333333333335,0.23809523809523808,0.0,Manager_Research & Development
36,0,Travel_Frequently,1195,Research & Development,11,3 - Bachelor,Life Sciences,2 - Medium,Male,95,2 - Medium,2,Manufacturing Director,2 - Medium,Single,6499,22656,1,Y,No,13,3- Excellent,3 - High,0,6,3,3 - Better,6,5,0,3,35-44,928.4285714285714,1.0,0.8333333333333334,Manufacturing Director_Research & Development
45,0,Travel_Rarely,1339,Research & Development,7,3 - Bachelor,Life Sciences,2 - Medium,Male,59,3 - High,3,Research Scientist,1 - Low,Divorced,9724,18787,2,Y,No,17,3- Excellent,3 - High,1,25,2,3 - Better,1,0,0,0,45-54,4862.0,0.04,0.0,Research Scientist_Research & Development
35,0,Travel_Frequently,664,Research & Development,1,3 - Bachelor,Medical,2 - Medium,Male,79,3 - High,1,Research Scientist,1 - Low,Married,2194,5868,4,Y,No,13,3- Excellent,4 - Very High,1,5,2,2- Good,3,2,1,2,35-44,548.5,0.6,0.6666666666666666,Research Scientist_Research & Development
36,1,Travel_Rarely,318,Research & Development,9,3 - Bachelor,Medical,4 - Very High,Male,79,2 - Medium,1,Research Scientist,3 - High,Married,3388,21777,0,Y,Yes,17,3- Excellent,1 - Low,1,2,0,2- Good,1,0,0,0,35-44,1694.0,0.5,0.0,Research Scientist_Research & Development
59,0,Travel_Frequently,1225,Sales,1,1 - Below College,Life Sciences,1 - Low,Female,57,2 - Medium,2,Sales Executive,3 - High,Single,5473,24668,7,Y,No,11,3- Excellent,4 - Very High,0,20,2,2- Good,4,3,1,3,55-64,1094.6,0.2,0.75,Sales Executive_Sales
29,0,Travel_Rarely,1328,Research & Development,2,3 - Bachelor,Life Sciences,3 - High,Male,76,3 - High,1,Research Scientist,2 - Medium,Married,2703,4956,0,Y,No,23,4 - Outstanding,4 - Very High,1,6,3,3 - Better,5,4,0,4,25-34,450.5,0.8333333333333334,0.8,Research Scientist_Research & Development
31,0,Travel_Rarely,1082,Research & Development,1,4 - Master,Medical,3 - High,Male,87,3 - High,1,Research Scientist,2 - Medium,Single,2501,18775,1,Y,No,17,3- Excellent,2 - Medium,0,1,4,3 - Better,1,1,1,0,25-34,1250.5,1.0,1.0,Research Scientist_Research & Development
32,0,Travel_Rarely,548,Research & Development,1,3 - Bachelor,Life Sciences,2 - Medium,Male,66,3 - High,2,Research Scientist,2 - Medium,Married,6220,7346,1,Y,No,17,3- Excellent,2 - Medium,2,10,3,3 - Better,10,4,0,9,25-34,565.4545454545455,1.0,0.4,Research Scientist_Research & Development
36,0,Travel_Rarely,132,Research & Development,6,3 - Bachelor,Life Sciences,2 - Medium,Female,55,4 - Very High,1,Laboratory Technician,4 - Very High,Married,3038,22002,3,Y,No,12,3- Excellent,2 - Medium,0,5,3,3 - Better,1,0,0,0,35-44,1519.0,0.2,0.0,Laboratory Technician_Research & Development
31,0,Travel_Rarely,746,Research & Development,8,4 - Master,Life Sciences,3 - High,Female,61,3 - High,2,Manufacturing Director,4 - Very High,Single,4424,20682,1,Y,No,23,4 - Outstanding,4 - Very High,0,11,2,3 - Better,11,7,1,8,25-34,368.6666666666667,1.0,0.6363636363636364,Manufacturing Director_Research & Development
35,0,Travel_Rarely,776,Sales,1,4 - Master,Marketing,3 - High,Male,32,2 - Medium,2,Sales Executive,1 - Low,Single,4312,23016,0,Y,No,14,3- Excellent,2 - Medium,0,16,2,3 - Better,15,13,2,8,35-44,269.5,0.9375,0.8666666666666667,Sales Executive_Sales
45,0,Travel_Rarely,193,Research & Development,6,4 - Master,Other,4 - Very High,Male,52,3 - High,3,Research Director,1 - Low,Married,13245,15067,4,Y,Yes,14,3- Excellent,2 - Medium,0,17,3,4 - Best,0,0,0,0,45-54,13245.0,0.0,0.0,Research Director_Research & Development
37,0,Travel_Rarely,397,Research & Development,7,4 - Master,Medical,1 - Low,Male,30,3 - High,3,Research Director,3 - High,Single,13664,25258,4,Y,No,13,3- Excellent,1 - Low,0,16,3,4 - Best,5,2,0,2,35-44,2277.3333333333335,0.3125,0.4,Research Director_Research & Development
46,0,Travel_Rarely,945,Human Resources,5,2 - College,Medical,2 - Medium,Male,80,3 - High,2,Human Resources,2 - Medium,Divorced,5021,10425,8,Y,Yes,22,4 - Outstanding,4 - Very High,1,16,2,3 - Better,4,2,0,2,45-54,1004.2,0.25,0.5,Human Resources_Human Resources
30,0,Travel_Rarely,852,Research & Development,1,1 - Below College,Life Sciences,4 - Very High,Male,55,2 - Medium,2,Laboratory Technician,4 - Very High,Married,5126,15998,1,Y,Yes,12,3- Excellent,3 - High,2,10,1,2- Good,10,8,3,0,25-34,466.0,1.0,0.8,Laboratory Technician_Research & Development
35,0,Travel_Rarely,1214,Research & Development,1,3 - Bachelor,Medical,2 - Medium,Male,30,2 - Medium,1,Research Scientist,3 - High,Single,2859,26278,1,Y,No,18,3- Excellent,1 - Low,0,6,3,3 - Better,6,4,0,4,35-44,408.42857142857144,1.0,0.6666666666666666,Research Scientist_Research & Development
55,0,Travel_Rarely,111,Sales,1,2 - College,Life Sciences,1 - Low,Male,70,3 - High,3,Sales Executive,4 - Very High,Married,10239,18092,3,Y,No,14,3- Excellent,4 - Very High,1,24,4,3 - Better,1,0,1,0,55-64,5119.5,0.041666666666666664,0.0,Sales Executive_Sales
38,0,Non-Travel,573,Research & Development,6,3 - Bachelor,Medical,2 - Medium,Female,79,1 - Low,2,Research Scientist,4 - Very High,Divorced,5329,15717,7,Y,Yes,12,3- Excellent,4 - Very High,3,17,3,3 - Better,13,11,1,9,35-44,380.64285714285717,0.7647058823529411,0.8461538461538461,Research Scientist_Research & Development
34,0,Travel_Rarely,1153,Research & Development,1,2 - College,Medical,1 - Low,Male,94,3 - High,2,Manufacturing Director,2 - Medium,Married,4325,17736,1,Y,No,15,3- Excellent,3 - High,0,5,2,3 - Better,5,2,1,3,25-34,720.8333333333334,1.0,0.4,Manufacturing Director_Research & Development
56,0,Travel_Rarely,1400,Research & Development,7,3 - Bachelor,Life Sciences,4 - Very High,Male,49,1 - Low,3,Manufacturing Director,4 - Very High,Single,7260,21698,4,Y,No,11,3- Excellent,1 - Low,0,37,3,2- Good,6,4,0,2,55-64,1037.142857142857,0.16216216216216217,0.6666666666666666,Manufacturing Director_Research & Development
